"BC49",3174,"2022-06-25",12,16,19,20,32,36,24
"BC49",3175,"2022-06-29",5,8,17,18,34,40,26
"BC49",3176,"2022-07-02",4,6,13,45,47,48,39
"BC49",3177,"2022-07-06",1,8,21,25,36,49,43
"BC49",3178,"2022-07-09",3,15,37,38,47,49,46
"BC49",3179,"2022-07-13",7,9,14,18,30,35,37
"BC49",3180,"2022-07-16",7,8,12,16,30,48,11
"BC49",3181,"2022-07-20",12,16,24,31,39,42,9
"BC49",3182,"2022-07-23",1,2,8,27,29,41,21
"BC49",3183,"2022-07-27",1,10,22,30,45,47,24
"BC49",3184,"2022-07-30",2,10,32,42,45,46,22
"BC49",3185,"2022-08-03",9,14,16,32,34,35,47
"BC49",3186,"2022-08-06",12,17,25,35,42,48,41
"BC49",3187,"2022-08-10",6,7,8,22,28,37,13
"BC49",3188,"2022-08-13",6,7,8,16,46,48,31
"BC49",3189,"2022-08-17",10,15,32,42,44,46,9
"BC49",3190,"2022-08-20",9,11,13,19,26,42,12
"BC49",3191,"2022-08-24",11,21,24,25,43,44,7
"BC49",3192,"2022-08-27",3,18,22,26,28,32,36
"BC49",3193,"2022-08-31",18,24,26,34,41,42,6
"BC49",3194,"2022-09-03",7,14,23,39,41,42,13
"BC49",3195,"2022-09-07",7,13,28,31,36,40,21
"BC49",3196,"2022-09-10",11,21,38,40,42,49,3
"BC49",3197,"2022-09-14",7,11,19,34,35,48,15
"BC49",3198,"2022-09-17",4,13,17,37,39,44,15
"BC49",3199,"2022-09-21",1,4,16,22,29,32,49
"BC49",3200,"2022-09-24",8,10,39,40,41,49,9
"BC49",3201,"2022-09-28",13,23,31,33,34,44,10
"BC49",3202,"2022-10-01",1,6,14,32,36,44,33
"BC49",3203,"2022-10-05",5,13,16,23,37,42,18
"BC49",3204,"2022-10-08",7,10,33,39,42,45,26
"BC49",3205,"2022-10-12",18,19,26,33,38,47,49
"BC49",3206,"2022-10-15",5,13,23,36,40,46,8
"BC49",3207,"2022-10-19",20,26,28,36,40,45,29
"BC49",3208,"2022-10-22",2,5,13,20,26,39,10
"BC49",3209,"2022-10-26",20,24,31,39,43,47,29
"BC49",3210,"2022-10-29",3,17,28,38,42,47,31
"BC49",3211,"2022-11-02",7,8,16,17,27,42,26
"BC49",3212,"2022-11-05",9,15,18,31,40,44,12
"BC49",3213,"2022-11-09",8,11,16,29,34,46,31
"BC49",3214,"2022-11-12",14,17,21,25,47,48,46
"BC49",3215,"2022-11-16",13,16,20,22,39,46,38
"BC49",3216,"2022-11-19",10,17,19,37,38,45,36
"BC49",3217,"2022-11-23",2,4,10,25,38,45,41
"BC49",3218,"2022-11-26",3,4,15,24,38,40,17
"BC49",3219,"2022-11-30",8,21,27,28,36,42,5
"BC49",3220,"2022-12-03",3,6,33,34,36,44,16
"BC49",3221,"2022-12-07",6,12,13,28,31,44,19
"BC49",3222,"2022-12-10",6,15,16,25,28,44,37
"BC49",3223,"2022-12-14",4,12,15,17,19,39,32
"BC49",3224,"2022-12-17",8,9,11,12,17,42,23
"BC49",3225,"2022-12-21",3,8,21,23,29,35,22
"BC49",3226,"2022-12-24",2,6,13,15,38,42,11
"BC49",3227,"2022-12-28",7,10,16,26,46,48,11
"BC49",3228,"2022-12-31",3,9,11,21,26,27,14
"BC49",3229,"2023-01-04",5,13,22,41,47,49,33
"BC49",3230,"2023-01-07",5,9,15,26,33,38,46
"BC49",3231,"2023-01-11",11,21,31,41,44,47,38
"BC49",3232,"2023-01-14",1,6,14,17,18,26,46
"BC49",3233,"2023-01-18",3,23,27,39,47,48,26
"BC49",3234,"2023-01-21",7,12,20,22,32,40,34
"BC49",3235,"2023-01-25",5,17,18,20,27,39,1
"BC49",3236,"2023-01-28",1,8,9,11,26,33,22
"BC49",3237,"2023-02-01",9,13,23,25,29,45,20
"BC49",3238,"2023-02-04",13,24,37,40,41,44,29
"BC49",3239,"2023-02-08",1,22,28,30,31,39,20
