PRODUCT,DRAW NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4
DGRD,313,10/17/2019,18,26,69,78
DGRD,314,10/21/2019,32,60,68,92
DGRD,315,10/24/2019,67,69,71,98
DGRD,316,10/28/2019,19,53,55,68
DGRD,317,10/31/2019,35,41,66,90
DGRD,318,11/4/2019,10,21,35,83
DGRD,319,11/7/2019,30,38,81,93
DGRD,320,11/11/2019,21,24,32,71
DGRD,321,11/14/2019,17,55,58,64
DGRD,322,11/18/2019,43,55,84,98
DGRD,323,11/21/2019,10,13,31,66
DGRD,324,11/25/2019,13,44,77,80
DGRD,325,11/28/2019,16,33,40,70
DGRD,326,12/2/2019,21,57,77,84
DGRD,327,12/5/2019,1,53,54,83
DGRD,328,12/9/2019,4,21,62,92
DGRD,329,12/12/2019,3,11,23,34
DGRD,330,12/16/2019,13,23,27,86
DGRD,331,12/19/2019,17,42,44,96
DGRD,332,12/23/2019,21,24,33,55
DGRD,333,12/26/2019,3,7,50,51
DGRD,334,12/30/2019,34,71,72,82
DGRD,335,1/2/2020,68,86,90,96
DGRD,336,1/6/2020,5,44,53,62
DGRD,337,1/9/2020,32,43,62,63
DGRD,338,1/13/2020,4,37,73,93
DGRD,339,1/16/2020,19,26,53,93
DGRD,340,1/20/2020,32,40,44,86
DGRD,341,1/23/2020,49,69,92,99
DGRD,342,1/27/2020,3,5,69,88
DGRD,343,1/30/2020,19,40,73,95
DGRD,344,2/3/2020,35,68,83,93
DGRD,345,2/6/2020,8,39,79,82
DGRD,346,2/10/2020,20,31,35,45
DGRD,347,2/13/2020,12,50,55,91
DGRD,348,2/17/2020,8,14,18,33
DGRD,349,2/20/2020,30,44,57,76
DGRD,350,2/24/2020,28,41,62,86
DGRD,351,2/27/2020,15,26,46,70
DGRD,352,3/2/2020,19,45,54,90
DGRD,353,3/5/2020,8,29,46,69
DGRD,354,3/9/2020,7,41,84,93
DGRD,355,3/12/2020,23,47,75,91
DGRD,356,3/16/2020,26,36,44,87
DGRD,357,3/19/2020,8,17,65,82
DGRD,358,3/23/2020,18,40,46,78
DGRD,359,3/26/2020,2,54,77,83
DGRD,360,3/30/2020,7,47,63,89
DGRD,361,4/2/2020,10,34,60,79
DGRD,362,4/6/2020,51,55,69,86
DGRD,363,4/9/2020,24,26,82,85
DGRD,364,4/13/2020,4,32,38,99
DGRD,365,4/16/2020,1,15,54,82
DGRD,366,4/20/2020,22,42,65,91
DGRD,367,4/23/2020,24,54,71,93
DGRD,368,4/27/2020,54,70,71,74
DGRD,369,4/30/2020,15,45,75,78
DGRD,370,5/4/2020,36,45,51,72
DGRD,371,5/7/2020,9,39,74,81
DGRD,372,5/11/2020,29,34,94,96
DGRD,373,5/14/2020,21,61,89,98
DGRD,374,5/18/2020,2,26,55,66
DGRD,375,5/21/2020,44,57,75,90
DGRD,376,5/25/2020,7,43,59,81
DGRD,377,5/28/2020,42,50,81,95
DGRD,378,6/1/2020,37,87,92,96
DGRD,379,6/4/2020,7,16,56,91
DGRD,380,6/8/2020,11,14,63,79
DGRD,381,6/11/2020,1,6,18,23
DGRD,382,6/15/2020,22,41,70,77
DGRD,383,6/18/2020,2,33,34,98
DGRD,384,6/22/2020,25,34,57,81
DGRD,385,6/25/2020,10,20,75,89
DGRD,386,6/29/2020,3,21,68,80
DGRD,387,7/2/2020,25,32,55,95
DGRD,388,7/6/2020,13,16,24,90
DGRD,389,7/9/2020,31,90,95,96
DGRD,390,7/13/2020,4,47,60,90
DGRD,391,7/16/2020,36,41,44,74
DGRD,392,7/20/2020,39,41,79,92
DGRD,393,7/23/2020,14,16,43,86
DGRD,394,7/27/2020,22,45,54,99
DGRD,395,7/30/2020,16,32,49,75
DGRD,396,8/3/2020,13,23,30,65
DGRD,397,8/6/2020,19,30,52,77
DGRD,398,8/10/2020,7,31,46,47
DGRD,399,8/13/2020,2,39,59,83
DGRD,400,8/17/2020,23,67,68,97
DGRD,401,8/20/2020,7,20,79,88
DGRD,402,8/24/2020,40,76,86,88
DGRD,403,8/27/2020,7,32,48,75
DGRD,404,8/31/2020,10,65,69,82
DGRD,405,9/3/2020,37,48,58,61
DGRD,406,9/7/2020,5,26,65,69
DGRD,407,9/10/2020,7,37,54,65
DGRD,408,9/14/2020,24,66,74,86
DGRD,409,9/17/2020,6,65,77,97
DGRD,410,9/21/2020,31,35,61,77
DGRD,411,9/24/2020,40,44,57,71
DGRD,412,9/28/2020,2,5,64,86
